Timestamp,Seq,Movement,Phase,Rep,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
0.0000,0,Rest,HAZIRLIK,0,1821,227,0,37,437,297
0.0001,1,Rest,HAZIRLIK,0,1821,0,0,45,307,159
0.0001,2,Rest,HAZIRLIK,0,1819,0,0,47,219,85
0.0002,3,Rest,HAZIRLIK,0,1817,0,0,52,189,75
0.0030,4,Rest,HAZIRLIK,0,1817,0,0,57,140,51
0.0031,5,Rest,HAZIRLIK,0,1816,0,0,57,108,44
0.0031,6,Rest,HAZIRLIK,0,1814,0,0,59,107,44
0.0031,7,Rest,HAZIRLIK,0,1813,0,0,57,101,43
0.0031,8,Rest,HAZIRLIK,0,1811,0,0,59,100,43
0.0052,9,Rest,HAZIRLIK,0,1812,0,0,57,93,43
0.0052,10,Rest,HAZIRLIK,0,1817,0,0,60,93,42
0.0053,11,Rest,HAZIRLIK,0,1851,0,0,61,94,42
0.0054,12,Rest,HAZIRLIK,0,1956,0,331,76,99,43
0.0072,13,Rest,HAZIRLIK,0,2180,109,1277,123,107,46
0.0072,14,Rest,HAZIRLIK,0,2595,503,2523,217,146,37
0.0072,15,Rest,HAZIRLIK,0,3439,1107,4095,365,125,52
0.0095,16,Rest,HAZIRLIK,0,4095,1865,4095,379,121,47
0.0095,17,Rest,HAZIRLIK,0,4095,2723,4095,423,143,53
0.0095,18,Rest,HAZIRLIK,0,4095,3894,4095,487,110,46
0.0095,19,Rest,HAZIRLIK,0,4095,4095,4095,520,133,45
0.0112,20,Rest,HAZIRLIK,0,4095,4095,4095,555,105,74
0.0112,21,Rest,HAZIRLIK,0,4095,4095,4095,574,102,42
0.0112,22,Rest,HAZIRLIK,0,4095,4095,4095,614,101,45
0.0115,23,Rest,HAZIRLIK,0,4095,4095,4095,646,101,46
0.0132,24,Rest,HAZIRLIK,0,4095,4095,4095,695,100,44
0.0132,25,Rest,HAZIRLIK,0,4095,4095,4095,696,99,44
0.0133,26,Rest,HAZIRLIK,0,4095,4095,4095,719,99,41
0.0151,27,Rest,HAZIRLIK,0,4095,4095,4095,763,100,43
0.0151,28,Rest,HAZIRLIK,0,4095,4095,4095,758,102,40
0.0151,29,Rest,HAZIRLIK,0,3539,4095,4095,765,89,38
0.0166,30,Rest,HAZIRLIK,0,2571,4095,3294,731,85,27
0.0166,31,Rest,HAZIRLIK,0,2077,3791,2147,675,75,39
0.0166,32,Rest,HAZIRLIK,0,1892,3118,869,563,68,38
0.0186,33,Rest,HAZIRLIK,0,1843,2387,0,471,63,39
0.0186,34,Rest,HAZIRLIK,0,1830,1567,0,427,73,40
0.0187,35,Rest,HAZIRLIK,0,1821,731,0,380,73,37
0.0187,36,Rest,HAZIRLIK,0,1819,0,0,343,77,41
0.0205,37,Rest,HAZIRLIK,0,1815,0,0,311,84,40
0.0206,38,Rest,HAZIRLIK,0,1814,0,0,276,87,37
0.0208,39,Rest,HAZIRLIK,0,1815,0,0,243,88,42
0.0209,40,Rest,HAZIRLIK,0,1810,0,0,237,88,42
0.0233,41,Rest,HAZIRLIK,0,1813,0,0,187,115,71
0.0233,42,Rest,HAZIRLIK,0,1811,0,0,191,89,42
0.0233,43,Rest,HAZIRLIK,0,1805,0,0,150,90,35
0.0233,44,Rest,HAZIRLIK,0,1811,0,0,136,90,41
0.0251,45,Rest,HAZIRLIK,0,1813,0,0,121,91,43
0.0252,46,Rest,HAZIRLIK,0,1829,0,0,115,91,38
0.0252,47,Rest,HAZIRLIK,0,1895,0,0,111,88,41
0.0272,48,Rest,HAZIRLIK,0,2063,47,819,135,99,42
0.0272,49,Rest,HAZIRLIK,0,2386,368,1946,201,111,44
0.0272,50,Rest,HAZIRLIK,0,2962,893,3448,327,152,53
0.0272,51,Rest,HAZIRLIK,0,4095,1619,4095,390,120,45
0.0291,52,Rest,HAZIRLIK,0,4095,2456,4095,428,118,44
0.0291,53,Rest,HAZIRLIK,0,4095,3454,4095,488,119,40
0.0293,54,Rest,HAZIRLIK,0,4095,4095,4095,549,112,43
0.0294,55,Rest,HAZIRLIK,0,4095,4095,4095,583,107,45
0.0313,56,Rest,HAZIRLIK,0,4095,4095,4095,587,104,75
0.0314,57,Rest,HAZIRLIK,0,4095,4095,4095,618,102,44
0.0314,58,Rest,HAZIRLIK,0,4095,4095,4095,651,102,45
0.0317,59,Rest,HAZIRLIK,0,4095,4095,4095,681,103,45
0.0341,60,Rest,HAZIRLIK,0,4095,4095,4095,695,99,40
0.0341,61,Rest,HAZIRLIK,0,4095,4095,4095,723,101,44
0.0341,62,Rest,HAZIRLIK,0,4095,4095,4095,773,101,44
0.0341,63,Rest,HAZIRLIK,0,4095,4095,4095,761,100,44
0.0356,64,Rest,HAZIRLIK,0,4095,4095,4095,800,98,43
0.0356,65,Rest,HAZIRLIK,0,2876,4095,3813,748,89,41
0.0356,66,Rest,HAZIRLIK,0,2246,4073,2610,699,83,41
0.0376,67,Rest,HAZIRLIK,0,1951,3491,1404,631,73,38
0.0376,68,Rest,HAZIRLIK,0,1861,2763,24,486,61,40
